Dimension,Entropy,Cinternal,Cexternal
34.0,0.99841946,0.35,0.1
42.0,0.99731195,0.35,0.05
34.0,0.9978553,0.35,0.01
56.0,0.99731874,0.4,0.1
49.0,0.9966853,0.4,0.05
39.0,0.99661195,0.4,0.01
61.0,0.996563,0.45,0.1
55.0,0.99785095,0.45,0.05
58.0,0.9962758,0.45,0.01
48.0,0.99799174,0.3,0.1
40.0,0.9979438,0.3,0.05
29.0,0.99832743,0.3,0.01
48.0,0.99772763,0.35,0.1
41.0,0.99778366,0.35,0.05
32.0,0.99785256,0.35,0.01
59.0,0.99661756,0.4,0.1
52.0,0.9979802,0.4,0.05
54.0,0.9977291,0.4,0.01
57.0,0.9962589,0.45,0.1
53.0,0.9978139,0.45,0.05
42.0,0.9964302,0.45,0.01
33.0,0.99738365,0.3,0.1
30.0,0.9980563,0.3,0.05
23.0,0.99840826,0.3,0.01
57.0,0.9969788,0.35,0.1
54.0,0.99707764,0.35,0.05
43.0,0.9970273,0.35,0.01
59.0,0.9975137,0.4,0.1
48.0,0.9965918,0.4,0.05
39.0,0.99663347,0.4,0.01
55.0,0.99736226,0.45,0.1
56.0,0.9979505,0.45,0.05
58.0,0.9981899,0.45,0.01
43.0,0.99781156,0.3,0.1
40.0,0.9969534,0.3,0.05
28.0,0.99827474,0.3,0.01
46.0,0.99729306,0.35,0.1
44.0,0.99713916,0.35,0.05
31.0,0.9975148,0.35,0.01
58.0,0.99713403,0.4,0.1
55.0,0.9966194,0.4,0.05
56.0,0.99725866,0.4,0.01
60.0,0.9962987,0.45,0.1
57.0,0.99674356,0.45,0.05
55.0,0.99693376,0.45,0.01
50.0,0.99765253,0.3,0.1
34.0,0.99759185,0.3,0.05
28.0,0.9985667,0.3,0.01
58.0,0.9981228,0.35,0.1
50.0,0.99778837,0.35,0.05
34.0,0.99811226,0.35,0.01
50.0,0.99790615,0.4,0.1
50.0,0.997655,0.4,0.05
49.0,0.9977185,0.4,0.01
27.0,0.99774534,0.45,0.1
63.0,0.99794346,0.45,0.05
41.0,0.9978256,0.45,0.01
48.0,0.9967709,0.3,0.1
36.0,0.99777323,0.3,0.05
25.0,0.9984941,0.3,0.01
49.0,0.99805874,0.35,0.1
46.0,0.99700165,0.35,0.05
38.0,0.99774635,0.35,0.01
58.0,0.99808425,0.4,0.1
46.0,0.99698246,0.4,0.05
45.0,0.9971172,0.4,0.01
57.0,0.9961025,0.45,0.1
51.0,0.9974393,0.45,0.05
45.0,0.99665415,0.45,0.01
49.0,0.997608,0.3,0.1
33.0,0.99693304,0.3,0.05
34.0,0.99837685,0.3,0.01
39.0,0.997822,0.35,0.1
40.0,0.99773157,0.35,0.05
40.0,0.997699,0.35,0.01
58.0,0.9966956,0.4,0.1
54.0,0.9972932,0.4,0.05
42.0,0.99707454,0.4,0.01
62.0,0.9974343,0.45,0.1
52.0,0.99634475,0.45,0.05
52.0,0.9975863,0.45,0.01
43.0,0.99732965,0.3,0.1
27.0,0.9979812,0.3,0.05
26.0,0.9988573,0.3,0.01
43.0,0.99823207,0.35,0.1
47.0,0.9974204,0.35,0.05
34.0,0.9973307,0.35,0.01
44.0,0.9966678,0.4,0.1
56.0,0.9980106,0.4,0.05
45.0,0.9977873,0.4,0.01
32.0,0.9975409,0.45,0.1
54.0,0.9978549,0.45,0.05
45.0,0.9974756,0.45,0.01
42.0,0.99782187,0.3,0.1
34.0,0.9979549,0.3,0.05
27.0,0.99838513,0.3,0.01
59.0,0.9980824,0.35,0.1
40.0,0.9968425,0.35,0.05
37.0,0.99812907,0.35,0.01
55.0,0.9970357,0.4,0.1
42.0,0.9964038,0.4,0.05
35.0,0.9974791,0.4,0.01
64.0,0.99775773,0.45,0.1
56.0,0.99684536,0.45,0.05
55.0,0.9974607,0.45,0.01
51.0,0.99719566,0.3,0.1
33.0,0.9977554,0.3,0.05
24.0,0.9978439,0.3,0.01
49.0,0.99747723,0.35,0.1
52.0,0.9975269,0.35,0.05
31.0,0.9982576,0.35,0.01
55.0,0.9969385,0.4,0.1
