Dimension,Entropy,Predominance,Cint
33.0,0.99741435,0.9,0.3
17.0,0.9961393,0.99,0.3
46.0,0.9973123,0.5,0.35
45.0,0.9972687,0.8,0.35
38.0,0.9974877,0.9,0.35
18.0,0.99658424,0.99,0.35
52.0,0.99784154,0.5,0.4
59.0,0.99695385,0.8,0.4
52.0,0.997051,0.9,0.4
55.0,0.99607533,0.99,0.4
52.0,0.99653345,0.5,0.45
26.0,0.9977541,0.8,0.45
57.0,0.9964203,0.9,0.45
23.0,0.99634993,0.99,0.45
33.0,0.9983281,0.5,0.3
37.0,0.9972776,0.8,0.3
37.0,0.9983339,0.9,0.3
6.0,0.9960354,0.99,0.3
55.0,0.9962203,0.5,0.35
44.0,0.9963924,0.8,0.35
50.0,0.9973979,0.9,0.35
9.0,0.9947017,0.99,0.35
54.0,0.9979072,0.5,0.4
55.0,0.9960431,0.8,0.4
47.0,0.99711615,0.9,0.4
11.0,0.99566543,0.99,0.4
57.0,0.99763554,0.5,0.45
55.0,0.9974021,0.8,0.45
55.0,0.9969802,0.9,0.45
21.0,0.9960926,0.99,0.45
38.0,0.9971621,0.5,0.3
36.0,0.99813277,0.8,0.3
42.0,0.998151,0.9,0.3
12.0,0.995599,0.99,0.3
51.0,0.9980716,0.5,0.35
46.0,0.9964243,0.8,0.35
47.0,0.99808097,0.9,0.35
35.0,0.99640054,0.99,0.35
46.0,0.9971601,0.5,0.4
60.0,0.9975902,0.8,0.4
46.0,0.99549395,0.9,0.4
22.0,0.9952305,0.99,0.4
62.0,0.9966078,0.5,0.45
56.0,0.9969888,0.8,0.45
64.0,0.99677086,0.9,0.45
30.0,0.99651676,0.99,0.45
32.0,0.99793905,0.5,0.3
46.0,0.9973362,0.8,0.3
36.0,0.99783033,0.9,0.3
13.0,0.9950714,0.99,0.3
43.0,0.9972677,0.5,0.35
49.0,0.99659485,0.8,0.35
47.0,0.9953134,0.9,0.35
11.0,0.99509853,0.99,0.35
48.0,0.9964918,0.5,0.4
50.0,0.9966403,0.8,0.4
57.0,0.99774194,0.9,0.4
29.0,0.99568677,0.99,0.4
54.0,0.9967133,0.5,0.45
31.0,0.998025,0.8,0.45
60.0,0.9972639,0.9,0.45
18.0,0.995563,0.99,0.45
41.0,0.99792695,0.5,0.3
30.0,0.9977715,0.8,0.3
41.0,0.99804366,0.9,0.3
19.0,0.99521416,0.99,0.3
41.0,0.9979611,0.5,0.35
41.0,0.9974494,0.8,0.35
53.0,0.9971449,0.9,0.35
20.0,0.99591905,0.99,0.35
46.0,0.99768937,0.5,0.4
58.0,0.99778426,0.8,0.4
56.0,0.9978411,0.9,0.4
15.0,0.9967016,0.99,0.4
55.0,0.9974389,0.5,0.45
57.0,0.99706703,0.8,0.45
34.0,0.99822927,0.9,0.45
23.0,0.9957929,0.99,0.45
39.0,0.9977572,0.5,0.3
43.0,0.99772567,0.8,0.3
45.0,0.9974526,0.9,0.3
15.0,0.9948561,0.99,0.3
44.0,0.9978146,0.5,0.35
38.0,0.99786836,0.8,0.35
44.0,0.995864,0.9,0.35
26.0,0.9946957,0.99,0.35
46.0,0.9967332,0.5,0.4
54.0,0.9977144,0.8,0.4
54.0,0.99784124,0.9,0.4
22.0,0.99558073,0.99,0.4
46.0,0.9971073,0.5,0.45
56.0,0.9978779,0.8,0.45
57.0,0.99767005,0.9,0.45
30.0,0.99553967,0.99,0.45
32.0,0.9983295,0.5,0.3
46.0,0.9983202,0.8,0.3
45.0,0.997047,0.9,0.3
18.0,0.99630374,0.99,0.3
41.0,0.996867,0.5,0.35
52.0,0.9976323,0.8,0.35
44.0,0.9965635,0.9,0.35
20.0,0.9955757,0.99,0.35
54.0,0.9974274,0.5,0.4
57.0,0.9980039,0.8,0.4
56.0,0.99803835,0.9,0.4
29.0,0.9957163,0.99,0.4
58.0,0.9973394,0.5,0.45
58.0,0.9977209,0.8,0.45
35.0,0.99741304,0.9,0.45
13.0,0.99647176,0.99,0.45
23.0,0.9987216,0.5,0.3
34.0,0.9979467,0.8,0.3
44.0,0.9974039,0.9,0.3
13.0,0.9956626,0.99,0.3
37.0,0.9974119,0.5,0.35
48.0,0.9980092,0.8,0.35
46.0,0.99724615,0.9,0.35
19.0,0.99653774,0.99,0.35
48.0,0.9970219,0.5,0.4
51.0,0.9973838,0.8,0.4
47.0,0.9975135,0.9,0.4
22.0,0.99585634,0.99,0.4
56.0,0.9966279,0.5,0.45
63.0,0.9980089,0.8,0.45
58.0,0.9977274,0.9,0.45
20.0,0.9943191,0.99,0.45
29.0,0.9984367,0.5,0.3
30.0,0.99638826,0.8,0.3
50.0,0.99750674,0.9,0.3
17.0,0.99581814,0.99,0.3
44.0,0.99814415,0.5,0.35
46.0,0.9973665,0.8,0.35
51.0,0.9961812,0.9,0.35
22.0,0.9967894,0.99,0.35
58.0,0.99822783,0.5,0.4
57.0,0.99723995,0.8,0.4
66.0,0.9979845,0.9,0.4
17.0,0.996145,0.99,0.4
34.0,0.9978453,0.5,0.45
56.0,0.9968287,0.8,0.45
56.0,0.996509,0.9,0.45
19.0,0.9949787,0.99,0.45
37.0,0.99777806,0.5,0.3
47.0,0.9977511,0.8,0.3
36.0,0.9971616,0.9,0.3
20.0,0.99540836,0.99,0.3
41.0,0.99784654,0.5,0.35
57.0,0.9980596,0.8,0.35
47.0,0.9976636,0.9,0.35
18.0,0.99638647,0.99,0.35
50.0,0.9981857,0.5,0.4
52.0,0.9969404,0.8,0.4
45.0,0.99589425,0.9,0.4
11.0,0.9954195,0.99,0.4
52.0,0.99667114,0.5,0.45
59.0,0.99753857,0.8,0.45
49.0,0.99731165,0.9,0.45
32.0,0.9955148,0.99,0.45
42.0,0.99725765,0.5,0.3
29.0,0.9977131,0.8,0.3
34.0,0.99724734,0.9,0.3
34.0,0.9957159,0.99,0.3
40.0,0.9978461,0.5,0.35
45.0,0.99788904,0.8,0.35
46.0,0.997711,0.9,0.35
21.0,0.9960201,0.99,0.35
47.0,0.9970847,0.5,0.4
41.0,0.9968515,0.8,0.4
53.0,0.996475,0.9,0.4
23.0,0.9952951,0.99,0.4
54.0,0.99748653,0.5,0.45
57.0,0.99767405,0.8,0.45
54.0,0.99638575,0.9,0.45
33.0,0.99551153,0.99,0.45
38.0,0.9974674,0.5,0.3
47.0,0.9965902,0.8,0.3
43.0,0.9970338,0.9,0.3
16.0,0.9961919,0.99,0.3
31.0,0.99792004,0.5,0.35
43.0,0.9966556,0.8,0.35
44.0,0.9970964,0.9,0.35
39.0,0.99483776,0.99,0.35
48.0,0.9973388,0.5,0.4
58.0,0.9981878,0.8,0.4
66.0,0.998113,0.9,0.4
14.0,0.99475956,0.99,0.4
57.0,0.9966753,0.5,0.45
68.0,0.9982426,0.8,0.45
56.0,0.99684614,0.9,0.45
54.0,0.99561,0.99,0.45
38.0,0.997213,0.5,0.3
38.0,0.99810034,0.8,0.3
38.0,0.997256,0.9,0.3
37.0,0.995052,0.99,0.3
43.0,0.99736506,0.5,0.35
43.0,0.99708563,0.8,0.35
57.0,0.99792206,0.9,0.35
22.0,0.99606496,0.99,0.35
44.0,0.9966535,0.5,0.4
56.0,0.9976184,0.8,0.4
53.0,0.9970639,0.9,0.4
18.0,0.99536973,0.99,0.4
57.0,0.99672085,0.5,0.45
56.0,0.9977819,0.8,0.45
59.0,0.9965825,0.9,0.45
29.0,0.99543184,0.99,0.45
38.0,0.997428,0.5,0.3
42.0,0.99786294,0.8,0.3
48.0,0.99693054,0.9,0.3
14.0,0.9962105,0.99,0.3
42.0,0.9967997,0.5,0.35
42.0,0.9970227,0.8,0.35
43.0,0.9970491,0.9,0.35
17.0,0.99514127,0.99,0.35
49.0,0.997072,0.5,0.4
54.0,0.9979725,0.8,0.4
50.0,0.9976711,0.9,0.4
18.0,0.99614197,0.99,0.4
52.0,0.9967733,0.5,0.45
58.0,0.99769413,0.8,0.45
60.0,0.9975431,0.9,0.45
26.0,0.9954255,0.99,0.45
26.0,0.9980142,0.5,0.3
45.0,0.9983167,0.8,0.3
41.0,0.99709475,0.9,0.3
16.0,0.9958525,0.99,0.3
28.0,0.9977585,0.5,0.35
44.0,0.99610716,0.8,0.35
49.0,0.9963167,0.9,0.35
22.0,0.9957761,0.99,0.35
54.0,0.9978496,0.5,0.4
64.0,0.9978835,0.8,0.4
52.0,0.9966212,0.9,0.4
32.0,0.9945673,0.99,0.4
57.0,0.99698573,0.5,0.45
54.0,0.9960489,0.8,0.45
56.0,0.99673575,0.9,0.45
20.0,0.99620026,0.99,0.45
36.0,0.9981309,0.5,0.3
40.0,0.9976568,0.8,0.3
32.0,0.9971919,0.9,0.3
6.0,0.99609834,0.99,0.3
42.0,0.9978195,0.5,0.35
45.0,0.9955546,0.8,0.35
45.0,0.9975101,0.9,0.35
10.0,0.995041,0.99,0.35
44.0,0.9968081,0.5,0.4
52.0,0.9980131,0.8,0.4
55.0,0.9964108,0.9,0.4
35.0,0.99509656,0.99,0.4
50.0,0.99644154,0.5,0.45
30.0,0.9977063,0.8,0.45
33.0,0.9977349,0.9,0.45
21.0,0.99551433,0.99,0.45
34.0,0.9974998,0.5,0.3
37.0,0.9978569,0.8,0.3
42.0,0.9988402,0.9,0.3
15.0,0.9961555,0.99,0.3
43.0,0.9981523,0.5,0.35
51.0,0.99712384,0.8,0.35
45.0,0.99706626,0.9,0.35
12.0,0.9940374,0.99,0.35
48.0,0.997246,0.5,0.4
54.0,0.9978363,0.8,0.4
50.0,0.99606586,0.9,0.4
20.0,0.994963,0.99,0.4
51.0,0.9967486,0.5,0.45
55.0,0.99681157,0.8,0.45
63.0,0.9978665,0.9,0.45
29.0,0.9954415,0.99,0.45
36.0,0.9984973,0.5,0.3
45.0,0.99767816,0.8,0.3
40.0,0.9967057,0.9,0.3
36.0,0.99601144,0.99,0.3
42.0,0.99648637,0.5,0.35
46.0,0.9977215,0.8,0.35
53.0,0.99707156,0.9,0.35
24.0,0.9955127,0.99,0.35
45.0,0.99758685,0.5,0.4
49.0,0.9961162,0.8,0.4
58.0,0.9979137,0.9,0.4
28.0,0.99466926,0.99,0.4
43.0,0.9978553,0.5,0.45
54.0,0.9978229,0.8,0.45
53.0,0.9958821,0.9,0.45
12.0,0.9959322,0.99,0.45
33.0,0.99832875,0.5,0.3
42.0,0.99697673,0.8,0.3
53.0,0.9977082,0.9,0.3
7.0,0.99567926,0.99,0.3
44.0,0.99733204,0.5,0.35
40.0,0.99715674,0.8,0.35
41.0,0.99682796,0.9,0.35
22.0,0.99641937,0.99,0.35
48.0,0.9960304,0.5,0.4
51.0,0.99761593,0.8,0.4
54.0,0.9971053,0.9,0.4
36.0,0.99557984,0.99,0.4
53.0,0.996558,0.5,0.45
52.0,0.9965149,0.8,0.45
53.0,0.9972526,0.9,0.45
27.0,0.9958241,0.99,0.45
29.0,0.99871564,0.5,0.3
44.0,0.9972842,0.8,0.3
43.0,0.996591,0.9,0.3
8.0,0.9945938,0.99,0.3
43.0,0.9977446,0.5,0.35
34.0,0.99799913,0.8,0.35
48.0,0.9959996,0.9,0.35
